Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.0212182
2.01	-0.147768
2.02	-0.0548935
2.03	-0.0342127
2.04	0.00063034
2.05	0.0317718
2.06	0.00615195
2.07	0.0681622
2.08	0.06222
2.09	0.0986014
2.1	0.141862
2.11	0.116875
2.12	0.168199
2.13	0.145226
2.14	0.151173
2.15	0.149696
2.16	0.0859773
2.17	0.0992653
2.18	0.0318754
2.19	0.00584409
2.2	0.00135559
2.21	-0.0495403
2.22	-0.0183726
2.23	-0.0624952
2.24	-0.0627024
2.25	-0.0438558
2.26	-0.0817038
2.27	-0.0375985
2.28	-0.0640566
2.29	-0.0523181
2.3	-0.0320686
2.31	-0.0638141
2.32	-0.0163462
2.33	-0.0442301
2.34	-0.0334002
2.35	-0.0110987
2.36	-0.0472402
2.37	-0.00664735
2.38	-0.0456768
2.39	-0.0439315
2.4	-0.0268401
2.41	-0.0672861
2.42	-0.0271177
2.43	-0.0602794
2.44	-0.0567321
2.45	-0.040017
2.46	-0.0811251
2.47	-0.0369694
2.48	-0.0653318
2.49	-0.0621239
2.5	-0.0428939
2.51	-0.079943
2.52	-0.0332581
2.53	-0.0638758
2.54	-0.0587029
2.55	-0.0378383
2.56	-0.0731597
2.57	-0.0207515
2.58	-0.0357674
2.59	-0.0140722
2.6	0.0320132
2.61	0.0269722
2.62	0.084132
2.63	0.0479756
2.64	0.0340532
2.65	0.021071
2.66	-0.0601492
2.67	-0.0520163
2.68	-0.100366
2.69	-0.106426
2.7	-0.094557
2.71	-0.136598
2.72	-0.0114217
2.73	0.224194
2.74	0.551239
2.75	0.590734
2.76	0.268295
2.77	0.0472066
2.78	-0.0906505
2.79	-0.0939232
2.8	-0.0513315
2.81	-0.0751587
2.82	-0.0266874
2.83	-0.040659
2.84	0.0148355
2.85	0.0052841
2.86	-0.0436861
2.87	-0.00448322
2.88	-0.0417218
2.89	-0.0198237
2.9	-0.00190929
2.91	-0.0240209
2.92	0.0240761
2.93	0.000711501
2.94	0.0391177
2.95	0.0644865
2.96	0.0536313
2.97	0.124899
2.98	0.117495
2.99	0.156745
3	0.175105
3.01	0.151072
3.02	0.194525
3.03	0.146071
3.04	0.136223
3.05	0.112181
3.06	0.0418079
3.07	0.0434147
3.08	-0.0213907
3.09	-0.0163622
3.1	-0.0169885
3.11	-0.0566545
3.12	-0.0228374
3.13	-0.0673149
3.14	-0.0556013
3.15	-0.045898
3.16	-0.073103
3.17	-0.0236606
3.18	-0.0533933
3.19	-0.0328082
3.2	-0.0217606
3.21	-0.05126
3.22	-0.00650653
3.23	-0.0448387
3.24	-0.0262946
3.25	-0.0134074
3.26	-0.0482645
3.27	-0.0146253
3.28	-0.059445
3.29	-0.0452578
3.3	-0.0333455
3.31	-0.068218
3.32	-0.0316295
3.33	-0.0715096
3.34	-0.0575706
3.35	-0.0481137
3.36	-0.0797507
3.37	-0.0362958
3.38	-0.0737739
3.39	-0.0589571
3.4	-0.0474541
3.41	-0.0842195
3.42	-0.0450669
3.43	-0.0794318
3.44	-0.0611838
3.45	-0.0508732
3.46	-0.0812027
3.47	-0.0381516
3.48	-0.0788541
3.49	-0.0627442
3.5	-0.0380124
3.51	-0.0505541
3.52	0.0218537
3.53	0.0227017
3.54	0.0540091
3.55	0.0609601
3.56	0.00975806
3.57	0.0201638
3.58	-0.0559452
3.59	-0.0701734
3.6	-0.078413
3.61	-0.123178
3.62	-0.0859143
3.63	-0.129953
3.64	-0.0643503
3.65	0.176517
3.66	0.487526
3.67	0.622434
3.68	0.329683
3.69	0.0529432
3.7	-0.0682603
3.71	-0.115486
3.72	-0.0478188
3.73	-0.0699313
3.74	-0.0519531
3.75	-0.0348714
3.76	-0.065385
3.77	-0.0187137
3.78	-0.0534914
3.79	-0.039833
3.8	-0.0236115
3.81	-0.0485458
3.82	0.00759875
3.83	-0.0168273
3.84	0.00354443
3.85	0.0288734
3.86	0.00967626
3.87	0.0701342
3.88	0.0604676
3.89	0.101116
3.9	0.136197
3.91	0.117869
3.92	0.178718
3.93	0.156483
3.94	0.171094
3.95	0.175448
3.96	0.115583
3.97	0.121938
3.98	0.043011
3.99	0.0142045
4	-0.00089024
4.01	-0.0538667
4.02	-0.0193147
4.03	-0.0573659
4.04	-0.053064
4.05	-0.0412763
4.06	-0.0762401
4.07	-0.0358594
4.08	-0.0697023
4.09	-0.0574215
4.1	-0.0347165
4.11	-0.0632807
4.12	-0.0185753
4.13	-0.050475
4.14	-0.0359904
4.15	-0.0149902
4.16	-0.0486987
4.17	-0.00385253
4.18	-0.0402443
4.19	-0.0395366
4.2	-0.0294243
4.21	-0.0711185
4.22	-0.034174
4.23	-0.0669986
4.24	-0.0549193
4.25	-0.0408215
4.26	-0.0837326
4.27	-0.0465423
4.28	-0.0780102
4.29	-0.0649884
4.3	-0.0483072
4.31	-0.0885348
4.32	-0.0514423
4.33	-0.0856091
4.34	-0.0730415
4.35	-0.0528366
4.36	-0.0897365
4.37	-0.0505908
4.38	-0.0825002
4.39	-0.0710878
4.4	-0.0540869
4.41	-0.0906145
4.42	-0.0472197
